MSISDN,IMSI,ICCID,Pin1,Puk1
,,INVALID_ICCID,,
0901000001,417010001000001,8910300000010000015,1234,5678
0901000002,417010001000002,8910300000010000023,1234,5678
0901000003,417010001000003,8910300000010000031,1234,5678
0901000004,417010001000004,8910300000010000049,1234,5678
0901000005,417010001000005,8910300000010000056,1234,5678
0901000006,417010001000006,8910300000010000064,1234,5678
0901000007,417010001000007,8910300000010000072,1234,5678
0901000008,417010001000008,8910300000010000080,1234,5678
0901000009,417010001000009,8910300000010000098,1234,5678
0901000010,417010001000010,8910300000010000106,1234,5678
0901000011,417010001000011,8910300000010000114,1234,5678
0901000012,417010001000012,8910300000010000122,1234,5678
0901000013,417010001000013,8910300000010000130,1234,5678
0901000014,417010001000014,8910300000010000148,1234,5678
0901000015,417010001000015,8910300000010000155,1234,5678
0901000016,417010001000016,8910300000010000163,1234,5678
0901000017,417010001000017,8910300000010000171,1234,5678
0901000018,417010001000018,8910300000010000189,1234,5678
0901000019,417010001000019,8910300000010000197,1234,5678
0901000020,417010001000020,8910300000010000205,1234,5678
0901000021,417010001000021,8910300000010000213,1234,5678
0901000022,417010001000022,8910300000010000221,1234,5678
0901000023,417010001000023,8910300000010000239,1234,5678
0901000024,417010001000024,8910300000010000247,1234,5678
0901000025,417010001000025,8910300000010000254,1234,5678
0901000026,417010001000026,8910300000010000262,1234,5678
0901000027,417010001000027,8910300000010000270,1234,5678
0901000028,417010001000028,8910300000010000288,1234,5678
0901000029,417010001000029,8910300000010000296,1234,5678
0901000030,417010001000030,8910300000010000304,1234,5678
0901000031,417010001000031,8910300000010000312,1234,5678
0901000032,417010001000032,8910300000010000320,1234,5678
0901000033,417010001000033,8910300000010000338,1234,5678
0901000034,417010001000034,8910300000010000346,1234,5678
0901000035,417010001000035,8910300000010000353,1234,5678
0901000036,417010001000036,8910300000010000361,1234,5678
0901000037,417010001000037,8910300000010000379,1234,5678
0901000038,417010001000038,8910300000010000387,1234,5678
0901000039,417010001000039,8910300000010000395,1234,5678
0901000040,417010001000040,8910300000010000403,1234,5678
0901000041,417010001000041,8910300000010000411,1234,5678
0901000042,417010001000042,8910300000010000429,1234,5678
0901000043,417010001000043,8910300000010000437,1234,5678
0901000044,417010001000044,8910300000010000445,1234,5678
0901000045,417010001000045,8910300000010000452,1234,5678
0901000046,417010001000046,8910300000010000460,1234,5678
0901000047,417010001000047,8910300000010000478,1234,5678
0901000048,417010001000048,8910300000010000486,1234,5678
0901000049,417010001000049,8910300000010000494,1234,5678
0901000050,417010001000050,8910300000010000502,1234,5678
0901000051,417010001000051,8910300000010000510,1234,5678
0901000052,417010001000052,8910300000010000528,1234,5678
0901000053,417010001000053,8910300000010000536,1234,5678
0901000054,417010001000054,8910300000010000544,1234,5678
0901000055,417010001000055,8910300000010000551,1234,5678
0901000056,417010001000056,8910300000010000569,1234,5678
0901000057,417010001000057,8910300000010000577,1234,5678
0901000058,417010001000058,8910300000010000585,1234,5678
0901000059,417010001000059,8910300000010000593,1234,5678
0901000060,417010001000060,8910300000010000601,1234,5678
0901000061,417010001000061,8910300000010000619,1234,5678
0901000062,417010001000062,8910300000010000627,1234,5678
0901000063,417010001000063,8910300000010000635,1234,5678
0901000064,417010001000064,8910300000010000643,1234,5678
0901000065,417010001000065,8910300000010000650,1234,5678
