CustomerCode,FullNameAr,FullNameEn,NationalId,CustomerType
CST01000000,Bulk Customer AR 1000000,Bulk Customer 1000000,1001000000,Individual
,,,,
CST01000002,Bulk Customer AR 1000002,Bulk Customer 1000002,1001000002,Individual
CST01000003,Bulk Customer AR 1000003,Bulk Customer 1000003,1001000003,Individual
CST01000004,Bulk Customer AR 1000004,Bulk Customer 1000004,1001000004,Individual
CST01000005,Bulk Customer AR 1000005,Bulk Customer 1000005,1001000005,Individual
CST01000006,Bulk Customer AR 1000006,Bulk Customer 1000006,1001000006,Individual
CST01000007,Bulk Customer AR 1000007,Bulk Customer 1000007,1001000007,Individual
CST01000008,Bulk Customer AR 1000008,Bulk Customer 1000008,1001000008,Individual
CST01000009,Bulk Customer AR 1000009,Bulk Customer 1000009,1001000009,Individual
CST01000010,Bulk Customer AR 1000010,Bulk Customer 1000010,1001000010,Individual
CST01000011,Bulk Customer AR 1000011,Bulk Customer 1000011,1001000011,Individual
CST01000012,Bulk Customer AR 1000012,Bulk Customer 1000012,1001000012,Individual
CST01000013,Bulk Customer AR 1000013,Bulk Customer 1000013,1001000013,Individual
CST01000014,Bulk Customer AR 1000014,Bulk Customer 1000014,1001000014,Individual
CST01000015,Bulk Customer AR 1000015,Bulk Customer 1000015,1001000015,Individual
CST01000016,Bulk Customer AR 1000016,Bulk Customer 1000016,1001000016,Individual
CST01000017,Bulk Customer AR 1000017,Bulk Customer 1000017,1001000017,Individual
CST01000018,Bulk Customer AR 1000018,Bulk Customer 1000018,1001000018,Individual
CST01000019,Bulk Customer AR 1000019,Bulk Customer 1000019,1001000019,Individual
CST01000020,Bulk Customer AR 1000020,Bulk Customer 1000020,1001000020,Individual
CST01000021,Bulk Customer AR 1000021,Bulk Customer 1000021,1001000021,Individual
CST01000022,Bulk Customer AR 1000022,Bulk Customer 1000022,1001000022,Individual
CST01000023,Bulk Customer AR 1000023,Bulk Customer 1000023,1001000023,Individual
CST01000024,Bulk Customer AR 1000024,Bulk Customer 1000024,1001000024,Individual
CST01000025,Bulk Customer AR 1000025,Bulk Customer 1000025,1001000025,Individual
CST01000026,Bulk Customer AR 1000026,Bulk Customer 1000026,1001000026,Individual
CST01000027,Bulk Customer AR 1000027,Bulk Customer 1000027,1001000027,Individual
CST01000028,Bulk Customer AR 1000028,Bulk Customer 1000028,1001000028,Individual
CST01000029,Bulk Customer AR 1000029,Bulk Customer 1000029,1001000029,Individual
CST01000030,Bulk Customer AR 1000030,Bulk Customer 1000030,1001000030,Individual
CST01000031,Bulk Customer AR 1000031,Bulk Customer 1000031,1001000031,Individual
CST01000032,Bulk Customer AR 1000032,Bulk Customer 1000032,1001000032,Individual
CST01000033,Bulk Customer AR 1000033,Bulk Customer 1000033,1001000033,Individual
CST01000034,Bulk Customer AR 1000034,Bulk Customer 1000034,1001000034,Individual
CST01000035,Bulk Customer AR 1000035,Bulk Customer 1000035,1001000035,Individual
CST01000036,Bulk Customer AR 1000036,Bulk Customer 1000036,1001000036,Individual
CST01000037,Bulk Customer AR 1000037,Bulk Customer 1000037,1001000037,Individual
CST01000038,Bulk Customer AR 1000038,Bulk Customer 1000038,1001000038,Individual
CST01000039,Bulk Customer AR 1000039,Bulk Customer 1000039,1001000039,Individual
CST01000040,Bulk Customer AR 1000040,Bulk Customer 1000040,1001000040,Individual
CST01000041,Bulk Customer AR 1000041,Bulk Customer 1000041,1001000041,Individual
CST01000042,Bulk Customer AR 1000042,Bulk Customer 1000042,1001000042,Individual
CST01000043,Bulk Customer AR 1000043,Bulk Customer 1000043,1001000043,Individual
CST01000044,Bulk Customer AR 1000044,Bulk Customer 1000044,1001000044,Individual
CST01000045,Bulk Customer AR 1000045,Bulk Customer 1000045,1001000045,Individual
CST01000046,Bulk Customer AR 1000046,Bulk Customer 1000046,1001000046,Individual
CST01000047,Bulk Customer AR 1000047,Bulk Customer 1000047,1001000047,Individual
CST01000048,Bulk Customer AR 1000048,Bulk Customer 1000048,1001000048,Individual
CST01000049,Bulk Customer AR 1000049,Bulk Customer 1000049,1001000049,Individual
CST01000050,Bulk Customer AR 1000050,Bulk Customer 1000050,1001000050,Individual
CST01000051,Bulk Customer AR 1000051,Bulk Customer 1000051,1001000051,Individual
CST01000052,Bulk Customer AR 1000052,Bulk Customer 1000052,1001000052,Individual
CST01000053,Bulk Customer AR 1000053,Bulk Customer 1000053,1001000053,Individual
CST01000054,Bulk Customer AR 1000054,Bulk Customer 1000054,1001000054,Individual
CST01000055,Bulk Customer AR 1000055,Bulk Customer 1000055,1001000055,Individual
CST01000056,Bulk Customer AR 1000056,Bulk Customer 1000056,1001000056,Individual
CST01000057,Bulk Customer AR 1000057,Bulk Customer 1000057,1001000057,Individual
CST01000058,Bulk Customer AR 1000058,Bulk Customer 1000058,1001000058,Individual
CST01000059,Bulk Customer AR 1000059,Bulk Customer 1000059,1001000059,Individual
CST01000060,Bulk Customer AR 1000060,Bulk Customer 1000060,1001000060,Individual
CST01000061,Bulk Customer AR 1000061,Bulk Customer 1000061,1001000061,Individual
CST01000062,Bulk Customer AR 1000062,Bulk Customer 1000062,1001000062,Individual
CST01000063,Bulk Customer AR 1000063,Bulk Customer 1000063,1001000063,Individual
CST01000064,Bulk Customer AR 1000064,Bulk Customer 1000064,1001000064,Individual
CST01000065,Bulk Customer AR 1000065,Bulk Customer 1000065,1001000065,Individual
CST01000066,Bulk Customer AR 1000066,Bulk Customer 1000066,1001000066,Individual
CST01000067,Bulk Customer AR 1000067,Bulk Customer 1000067,1001000067,Individual
CST01000068,Bulk Customer AR 1000068,Bulk Customer 1000068,1001000068,Individual
CST01000069,Bulk Customer AR 1000069,Bulk Customer 1000069,1001000069,Individual
CST01000070,Bulk Customer AR 1000070,Bulk Customer 1000070,1001000070,Individual
CST01000071,Bulk Customer AR 1000071,Bulk Customer 1000071,1001000071,Individual
CST01000072,Bulk Customer AR 1000072,Bulk Customer 1000072,1001000072,Individual
CST01000073,Bulk Customer AR 1000073,Bulk Customer 1000073,1001000073,Individual
CST01000074,Bulk Customer AR 1000074,Bulk Customer 1000074,1001000074,Individual
CST01000075,Bulk Customer AR 1000075,Bulk Customer 1000075,1001000075,Individual
CST01000076,Bulk Customer AR 1000076,Bulk Customer 1000076,1001000076,Individual
CST01000077,Bulk Customer AR 1000077,Bulk Customer 1000077,1001000077,Individual
CST01000078,Bulk Customer AR 1000078,Bulk Customer 1000078,1001000078,Individual
CST01000079,Bulk Customer AR 1000079,Bulk Customer 1000079,1001000079,Individual
CST01000080,Bulk Customer AR 1000080,Bulk Customer 1000080,1001000080,Individual
CST01000081,Bulk Customer AR 1000081,Bulk Customer 1000081,1001000081,Individual
CST01000082,Bulk Customer AR 1000082,Bulk Customer 1000082,1001000082,Individual
CST01000083,Bulk Customer AR 1000083,Bulk Customer 1000083,1001000083,Individual
CST01000084,Bulk Customer AR 1000084,Bulk Customer 1000084,1001000084,Individual
CST01000085,Bulk Customer AR 1000085,Bulk Customer 1000085,1001000085,Individual
CST01000086,Bulk Customer AR 1000086,Bulk Customer 1000086,1001000086,Individual
CST01000087,Bulk Customer AR 1000087,Bulk Customer 1000087,1001000087,Individual
CST01000088,Bulk Customer AR 1000088,Bulk Customer 1000088,1001000088,Individual
CST01000089,Bulk Customer AR 1000089,Bulk Customer 1000089,1001000089,Individual
CST01000090,Bulk Customer AR 1000090,Bulk Customer 1000090,1001000090,Individual
CST01000091,Bulk Customer AR 1000091,Bulk Customer 1000091,1001000091,Individual
CST01000092,Bulk Customer AR 1000092,Bulk Customer 1000092,1001000092,Individual
CST01000093,Bulk Customer AR 1000093,Bulk Customer 1000093,1001000093,Individual
CST01000094,Bulk Customer AR 1000094,Bulk Customer 1000094,1001000094,Individual
CST01000095,Bulk Customer AR 1000095,Bulk Customer 1000095,1001000095,Individual
CST01000096,Bulk Customer AR 1000096,Bulk Customer 1000096,1001000096,Individual
CST01000097,Bulk Customer AR 1000097,Bulk Customer 1000097,1001000097,Individual
CST01000098,Bulk Customer AR 1000098,Bulk Customer 1000098,1001000098,Individual
CST01000099,Bulk Customer AR 1000099,Bulk Customer 1000099,1001000099,Individual
CST01000100,Bulk Customer AR 1000100,Bulk Customer 1000100,1001000100,Individual
,,,,
CST01000102,Bulk Customer AR 1000102,Bulk Customer 1000102,1001000102,Individual
CST01000103,Bulk Customer AR 1000103,Bulk Customer 1000103,1001000103,Individual
CST01000104,Bulk Customer AR 1000104,Bulk Customer 1000104,1001000104,Individual
CST01000105,Bulk Customer AR 1000105,Bulk Customer 1000105,1001000105,Individual
CST01000106,Bulk Customer AR 1000106,Bulk Customer 1000106,1001000106,Individual
CST01000107,Bulk Customer AR 1000107,Bulk Customer 1000107,1001000107,Individual
CST01000108,Bulk Customer AR 1000108,Bulk Customer 1000108,1001000108,Individual
CST01000109,Bulk Customer AR 1000109,Bulk Customer 1000109,1001000109,Individual
CST01000110,Bulk Customer AR 1000110,Bulk Customer 1000110,1001000110,Individual
CST01000111,Bulk Customer AR 1000111,Bulk Customer 1000111,1001000111,Individual
CST01000112,Bulk Customer AR 1000112,Bulk Customer 1000112,1001000112,Individual
CST01000113,Bulk Customer AR 1000113,Bulk Customer 1000113,1001000113,Individual
CST01000114,Bulk Customer AR 1000114,Bulk Customer 1000114,1001000114,Individual
CST01000115,Bulk Customer AR 1000115,Bulk Customer 1000115,1001000115,Individual
CST01000116,Bulk Customer AR 1000116,Bulk Customer 1000116,1001000116,Individual
CST01000117,Bulk Customer AR 1000117,Bulk Customer 1000117,1001000117,Individual
CST01000118,Bulk Customer AR 1000118,Bulk Customer 1000118,1001000118,Individual
CST01000119,Bulk Customer AR 1000119,Bulk Customer 1000119,1001000119,Individual
CST01000120,Bulk Customer AR 1000120,Bulk Customer 1000120,1001000120,Individual
CST01000121,Bulk Customer AR 1000121,Bulk Customer 1000121,1001000121,Individual
CST01000122,Bulk Customer AR 1000122,Bulk Customer 1000122,1001000122,Individual
CST01000123,Bulk Customer AR 1000123,Bulk Customer 1000123,1001000123,Individual
CST01000124,Bulk Customer AR 1000124,Bulk Customer 1000124,1001000124,Individual
CST01000125,Bulk Customer AR 1000125,Bulk Customer 1000125,1001000125,Individual
CST01000126,Bulk Customer AR 1000126,Bulk Customer 1000126,1001000126,Individual
CST01000127,Bulk Customer AR 1000127,Bulk Customer 1000127,1001000127,Individual
CST01000128,Bulk Customer AR 1000128,Bulk Customer 1000128,1001000128,Individual
CST01000129,Bulk Customer AR 1000129,Bulk Customer 1000129,1001000129,Individual
CST01000130,Bulk Customer AR 1000130,Bulk Customer 1000130,1001000130,Individual
CST01000131,Bulk Customer AR 1000131,Bulk Customer 1000131,1001000131,Individual
CST01000132,Bulk Customer AR 1000132,Bulk Customer 1000132,1001000132,Individual
CST01000133,Bulk Customer AR 1000133,Bulk Customer 1000133,1001000133,Individual
CST01000134,Bulk Customer AR 1000134,Bulk Customer 1000134,1001000134,Individual
CST01000135,Bulk Customer AR 1000135,Bulk Customer 1000135,1001000135,Individual
