MSISDN,CurrentOfferCode,NewOfferCode
,MIX_500,
0901000001,MIX_100,MIX_500
0901000002,MIX_100,MIX_500
0901000003,MIX_100,MIX_500
0901000004,MIX_100,MIX_500
0901000005,MIX_100,MIX_500
0901000006,MIX_100,MIX_500
0901000007,MIX_100,MIX_500
0901000008,MIX_100,MIX_500
0901000009,MIX_100,MIX_500
0901000010,MIX_100,MIX_500
0901000011,MIX_100,MIX_500
0901000012,MIX_100,MIX_500
0901000013,MIX_100,MIX_500
0901000014,MIX_100,MIX_500
0901000015,MIX_100,MIX_500
0901000016,MIX_100,MIX_500
0901000017,MIX_100,MIX_500
0901000018,MIX_100,MIX_500
0901000019,MIX_100,MIX_500
0901000020,MIX_100,MIX_500
0901000021,MIX_100,MIX_500
0901000022,MIX_100,MIX_500
0901000023,MIX_100,MIX_500
0901000024,MIX_100,MIX_500
0901000025,MIX_100,MIX_500
0901000026,MIX_100,MIX_500
0901000027,MIX_100,MIX_500
0901000028,MIX_100,MIX_500
0901000029,MIX_100,MIX_500
0901000030,MIX_100,MIX_500
0901000031,MIX_100,MIX_500
0901000032,MIX_100,MIX_500
0901000033,MIX_100,MIX_500
0901000034,MIX_100,MIX_500
0901000035,MIX_100,MIX_500
0901000036,MIX_100,MIX_500
0901000037,MIX_100,MIX_500
0901000038,MIX_100,MIX_500
0901000039,MIX_100,MIX_500
0901000040,MIX_100,MIX_500
0901000041,MIX_100,MIX_500
0901000042,MIX_100,MIX_500
0901000043,MIX_100,MIX_500
0901000044,MIX_100,MIX_500
0901000045,MIX_100,MIX_500
0901000046,MIX_100,MIX_500
0901000047,MIX_100,MIX_500
0901000048,MIX_100,MIX_500
0901000049,MIX_100,MIX_500
0901000050,MIX_100,MIX_500
0901000051,MIX_100,MIX_500
0901000052,MIX_100,MIX_500
0901000053,MIX_100,MIX_500
0901000054,MIX_100,MIX_500
0901000055,MIX_100,MIX_500
0901000056,MIX_100,MIX_500
0901000057,MIX_100,MIX_500
0901000058,MIX_100,MIX_500
0901000059,MIX_100,MIX_500
0901000060,MIX_100,MIX_500
0901000061,MIX_100,MIX_500
0901000062,MIX_100,MIX_500
0901000063,MIX_100,MIX_500
0901000064,MIX_100,MIX_500
0901000065,MIX_100,MIX_500
0901000066,MIX_100,MIX_500
0901000067,MIX_100,MIX_500
0901000068,MIX_100,MIX_500
0901000069,MIX_100,MIX_500
0901000070,MIX_100,MIX_500
0901000071,MIX_100,MIX_500
0901000072,MIX_100,MIX_500
0901000073,MIX_100,MIX_500
0901000074,MIX_100,MIX_500
0901000075,MIX_100,MIX_500
0901000076,MIX_100,MIX_500
0901000077,MIX_100,MIX_500
0901000078,MIX_100,MIX_500
0901000079,MIX_100,MIX_500
0901000080,MIX_100,MIX_500
0901000081,MIX_100,MIX_500
0901000082,MIX_100,MIX_500
0901000083,MIX_100,MIX_500
0901000084,MIX_100,MIX_500
0901000085,MIX_100,MIX_500
0901000086,MIX_100,MIX_500
0901000087,MIX_100,MIX_500
0901000088,MIX_100,MIX_500
0901000089,MIX_100,MIX_500
0901000090,MIX_100,MIX_500
0901000091,MIX_100,MIX_500
0901000092,MIX_100,MIX_500
0901000093,MIX_100,MIX_500
0901000094,MIX_100,MIX_500
0901000095,MIX_100,MIX_500
0901000096,MIX_100,MIX_500
0901000097,MIX_100,MIX_500
0901000098,MIX_100,MIX_500
0901000099,MIX_100,MIX_500
0901000100,MIX_100,MIX_500
0901000101,MIX_100,MIX_500
0901000102,MIX_100,MIX_500
0901000103,MIX_100,MIX_500
0901000104,MIX_100,MIX_500
0901000105,MIX_100,MIX_500
0901000106,MIX_100,MIX_500
0901000107,MIX_100,MIX_500
0901000108,MIX_100,MIX_500
0901000109,MIX_100,MIX_500
0901000110,MIX_100,MIX_500
0901000111,MIX_100,MIX_500
0901000112,MIX_100,MIX_500
0901000113,MIX_100,MIX_500
0901000114,MIX_100,MIX_500
0901000115,MIX_100,MIX_500
0901000116,MIX_100,MIX_500
0901000117,MIX_100,MIX_500
0901000118,MIX_100,MIX_500
0901000119,MIX_100,MIX_500
0901000120,MIX_100,MIX_500
0901000121,MIX_100,MIX_500
0901000122,MIX_100,MIX_500
0901000123,MIX_100,MIX_500
0901000124,MIX_100,MIX_500
0901000125,MIX_100,MIX_500
0901000126,MIX_100,MIX_500
0901000127,MIX_100,MIX_500
0901000128,MIX_100,MIX_500
0901000129,MIX_100,MIX_500
0901000130,MIX_100,MIX_500
0901000131,MIX_100,MIX_500
0901000132,MIX_100,MIX_500
0901000133,MIX_100,MIX_500
0901000134,MIX_100,MIX_500
0901000135,MIX_100,MIX_500
0901000136,MIX_100,MIX_500
0901000137,MIX_100,MIX_500
0901000138,MIX_100,MIX_500
0901000139,MIX_100,MIX_500
0901000140,MIX_100,MIX_500
0901000141,MIX_100,MIX_500
0901000142,MIX_100,MIX_500
0901000143,MIX_100,MIX_500
0901000144,MIX_100,MIX_500
0901000145,MIX_100,MIX_500
0901000146,MIX_100,MIX_500
0901000147,MIX_100,MIX_500
0901000148,MIX_100,MIX_500
0901000149,MIX_100,MIX_500
0901000150,MIX_100,MIX_500
0901000151,MIX_100,MIX_500
0901000152,MIX_100,MIX_500
0901000153,MIX_100,MIX_500
0901000154,MIX_100,MIX_500
0901000155,MIX_100,MIX_500
0901000156,MIX_100,MIX_500
0901000157,MIX_100,MIX_500
0901000158,MIX_100,MIX_500
0901000159,MIX_100,MIX_500
0901000160,MIX_100,MIX_500
0901000161,MIX_100,MIX_500
0901000162,MIX_100,MIX_500
0901000163,MIX_100,MIX_500
0901000164,MIX_100,MIX_500
0901000165,MIX_100,MIX_500
0901000166,MIX_100,MIX_500
0901000167,MIX_100,MIX_500
0901000168,MIX_100,MIX_500
0901000169,MIX_100,MIX_500
0901000170,MIX_100,MIX_500
0901000171,MIX_100,MIX_500
0901000172,MIX_100,MIX_500
0901000173,MIX_100,MIX_500
0901000174,MIX_100,MIX_500
0901000175,MIX_100,MIX_500
0901000176,MIX_100,MIX_500
0901000177,MIX_100,MIX_500
0901000178,MIX_100,MIX_500
0901000179,MIX_100,MIX_500
0901000180,MIX_100,MIX_500
0901000181,MIX_100,MIX_500
0901000182,MIX_100,MIX_500
0901000183,MIX_100,MIX_500
0901000184,MIX_100,MIX_500
0901000185,MIX_100,MIX_500
0901000186,MIX_100,MIX_500
0901000187,MIX_100,MIX_500
0901000188,MIX_100,MIX_500
0901000189,MIX_100,MIX_500
0901000190,MIX_100,MIX_500
0901000191,MIX_100,MIX_500
0901000192,MIX_100,MIX_500
0901000193,MIX_100,MIX_500
0901000194,MIX_100,MIX_500
0901000195,MIX_100,MIX_500
0901000196,MIX_100,MIX_500
0901000197,MIX_100,MIX_500
0901000198,MIX_100,MIX_500
0901000199,MIX_100,MIX_500
0901000200,MIX_100,MIX_500
,MIX_500,
0901000202,MIX_100,MIX_500
0901000203,MIX_100,MIX_500
0901000204,MIX_100,MIX_500
0901000205,MIX_100,MIX_500
0901000206,MIX_100,MIX_500
0901000207,MIX_100,MIX_500
0901000208,MIX_100,MIX_500
0901000209,MIX_100,MIX_500
0901000210,MIX_100,MIX_500
0901000211,MIX_100,MIX_500
0901000212,MIX_100,MIX_500
0901000213,MIX_100,MIX_500
0901000214,MIX_100,MIX_500
0901000215,MIX_100,MIX_500
0901000216,MIX_100,MIX_500
0901000217,MIX_100,MIX_500
0901000218,MIX_100,MIX_500
0901000219,MIX_100,MIX_500
0901000220,MIX_100,MIX_500
0901000221,MIX_100,MIX_500
0901000222,MIX_100,MIX_500
0901000223,MIX_100,MIX_500
0901000224,MIX_100,MIX_500
0901000225,MIX_100,MIX_500
0901000226,MIX_100,MIX_500
0901000227,MIX_100,MIX_500
0901000228,MIX_100,MIX_500
0901000229,MIX_100,MIX_500
0901000230,MIX_100,MIX_500
0901000231,MIX_100,MIX_500
0901000232,MIX_100,MIX_500
0901000233,MIX_100,MIX_500
0901000234,MIX_100,MIX_500
0901000235,MIX_100,MIX_500
0901000236,MIX_100,MIX_500
0901000237,MIX_100,MIX_500
0901000238,MIX_100,MIX_500
0901000239,MIX_100,MIX_500
0901000240,MIX_100,MIX_500
0901000241,MIX_100,MIX_500
0901000242,MIX_100,MIX_500
0901000243,MIX_100,MIX_500
0901000244,MIX_100,MIX_500
0901000245,MIX_100,MIX_500
0901000246,MIX_100,MIX_500
0901000247,MIX_100,MIX_500
0901000248,MIX_100,MIX_500
0901000249,MIX_100,MIX_500
0901000250,MIX_100,MIX_500
0901000251,MIX_100,MIX_500
0901000252,MIX_100,MIX_500
0901000253,MIX_100,MIX_500
0901000254,MIX_100,MIX_500
0901000255,MIX_100,MIX_500
0901000256,MIX_100,MIX_500
0901000257,MIX_100,MIX_500
0901000258,MIX_100,MIX_500
0901000259,MIX_100,MIX_500
0901000260,MIX_100,MIX_500
0901000261,MIX_100,MIX_500
0901000262,MIX_100,MIX_500
0901000263,MIX_100,MIX_500
0901000264,MIX_100,MIX_500
0901000265,MIX_100,MIX_500
0901000266,MIX_100,MIX_500
0901000267,MIX_100,MIX_500
0901000268,MIX_100,MIX_500
0901000269,MIX_100,MIX_500
0901000270,MIX_100,MIX_500
0901000271,MIX_100,MIX_500
0901000272,MIX_100,MIX_500
0901000273,MIX_100,MIX_500
0901000274,MIX_100,MIX_500
0901000275,MIX_100,MIX_500
0901000276,MIX_100,MIX_500
0901000277,MIX_100,MIX_500
0901000278,MIX_100,MIX_500
0901000279,MIX_100,MIX_500
0901000280,MIX_100,MIX_500
0901000281,MIX_100,MIX_500
0901000282,MIX_100,MIX_500
0901000283,MIX_100,MIX_500
0901000284,MIX_100,MIX_500
0901000285,MIX_100,MIX_500
0901000286,MIX_100,MIX_500
0901000287,MIX_100,MIX_500
0901000288,MIX_100,MIX_500
0901000289,MIX_100,MIX_500
0901000290,MIX_100,MIX_500
0901000291,MIX_100,MIX_500
0901000292,MIX_100,MIX_500
0901000293,MIX_100,MIX_500
0901000294,MIX_100,MIX_500
0901000295,MIX_100,MIX_500
0901000296,MIX_100,MIX_500
0901000297,MIX_100,MIX_500
0901000298,MIX_100,MIX_500
0901000299,MIX_100,MIX_500
,MIX_500,
0901000301,MIX_100,MIX_500
0901000302,MIX_100,MIX_500
0901000303,MIX_100,MIX_500
0901000304,MIX_100,MIX_500
0901000305,MIX_100,MIX_500
0901000306,MIX_100,MIX_500
0901000307,MIX_100,MIX_500
0901000308,MIX_100,MIX_500
0901000309,MIX_100,MIX_500
0901000310,MIX_100,MIX_500
0901000311,MIX_100,MIX_500
0901000312,MIX_100,MIX_500
0901000313,MIX_100,MIX_500
0901000314,MIX_100,MIX_500
0901000315,MIX_100,MIX_500
0901000316,MIX_100,MIX_500
0901000317,MIX_100,MIX_500
0901000318,MIX_100,MIX_500
0901000319,MIX_100,MIX_500
0901000320,MIX_100,MIX_500
0901000321,MIX_100,MIX_500
0901000322,MIX_100,MIX_500
0901000323,MIX_100,MIX_500
0901000324,MIX_100,MIX_500
0901000325,MIX_100,MIX_500
0901000326,MIX_100,MIX_500
0901000327,MIX_100,MIX_500
0901000328,MIX_100,MIX_500
0901000329,MIX_100,MIX_500
0901000330,MIX_100,MIX_500
0901000331,MIX_100,MIX_500
0901000332,MIX_100,MIX_500
0901000333,MIX_100,MIX_500
0901000334,MIX_100,MIX_500
0901000335,MIX_100,MIX_500
0901000336,MIX_100,MIX_500
0901000337,MIX_100,MIX_500
0901000338,MIX_100,MIX_500
0901000339,MIX_100,MIX_500
0901000340,MIX_100,MIX_500
0901000341,MIX_100,MIX_500
0901000342,MIX_100,MIX_500
0901000343,MIX_100,MIX_500
0901000344,MIX_100,MIX_500
0901000345,MIX_100,MIX_500
0901000346,MIX_100,MIX_500
0901000347,MIX_100,MIX_500
0901000348,MIX_100,MIX_500
0901000349,MIX_100,MIX_500
0901000350,MIX_100,MIX_500
0901000351,MIX_100,MIX_500
0901000352,MIX_100,MIX_500
0901000353,MIX_100,MIX_500
0901000354,MIX_100,MIX_500
0901000355,MIX_100,MIX_500
0901000356,MIX_100,MIX_500
0901000357,MIX_100,MIX_500
0901000358,MIX_100,MIX_500
0901000359,MIX_100,MIX_500
0901000360,MIX_100,MIX_500
0901000361,MIX_100,MIX_500
0901000362,MIX_100,MIX_500
0901000363,MIX_100,MIX_500
0901000364,MIX_100,MIX_500
0901000365,MIX_100,MIX_500
0901000366,MIX_100,MIX_500
0901000367,MIX_100,MIX_500
0901000368,MIX_100,MIX_500
0901000369,MIX_100,MIX_500
0901000370,MIX_100,MIX_500
0901000371,MIX_100,MIX_500
0901000372,MIX_100,MIX_500
0901000373,MIX_100,MIX_500
0901000374,MIX_100,MIX_500
0901000375,MIX_100,MIX_500
0901000376,MIX_100,MIX_500
0901000377,MIX_100,MIX_500
0901000378,MIX_100,MIX_500
0901000379,MIX_100,MIX_500
0901000380,MIX_100,MIX_500
0901000381,MIX_100,MIX_500
0901000382,MIX_100,MIX_500
0901000383,MIX_100,MIX_500
0901000384,MIX_100,MIX_500
0901000385,MIX_100,MIX_500
0901000386,MIX_100,MIX_500
0901000387,MIX_100,MIX_500
0901000388,MIX_100,MIX_500
0901000389,MIX_100,MIX_500
0901000390,MIX_100,MIX_500
0901000391,MIX_100,MIX_500
0901000392,MIX_100,MIX_500
0901000393,MIX_100,MIX_500
0901000394,MIX_100,MIX_500
0901000395,MIX_100,MIX_500
0901000396,MIX_100,MIX_500
0901000397,MIX_100,MIX_500
0901000398,MIX_100,MIX_500
0901000399,MIX_100,MIX_500
0901000400,MIX_100,MIX_500
0901000401,MIX_100,MIX_500
0901000402,MIX_100,MIX_500
0901000403,MIX_100,MIX_500
0901000404,MIX_100,MIX_500
0901000405,MIX_100,MIX_500
0901000406,MIX_100,MIX_500
0901000407,MIX_100,MIX_500
0901000408,MIX_100,MIX_500
0901000409,MIX_100,MIX_500
0901000410,MIX_100,MIX_500
0901000411,MIX_100,MIX_500
0901000412,MIX_100,MIX_500
0901000413,MIX_100,MIX_500
0901000414,MIX_100,MIX_500
0901000415,MIX_100,MIX_500
0901000416,MIX_100,MIX_500
0901000417,MIX_100,MIX_500
0901000418,MIX_100,MIX_500
0901000419,MIX_100,MIX_500
0901000420,MIX_100,MIX_500
0901000421,MIX_100,MIX_500
0901000422,MIX_100,MIX_500
0901000423,MIX_100,MIX_500
0901000424,MIX_100,MIX_500
0901000425,MIX_100,MIX_500
0901000426,MIX_100,MIX_500
0901000427,MIX_100,MIX_500
0901000428,MIX_100,MIX_500
0901000429,MIX_100,MIX_500
0901000430,MIX_100,MIX_500
0901000431,MIX_100,MIX_500
0901000432,MIX_100,MIX_500
0901000433,MIX_100,MIX_500
0901000434,MIX_100,MIX_500
0901000435,MIX_100,MIX_500
0901000436,MIX_100,MIX_500
0901000437,MIX_100,MIX_500
0901000438,MIX_100,MIX_500
0901000439,MIX_100,MIX_500
0901000440,MIX_100,MIX_500
0901000441,MIX_100,MIX_500
0901000442,MIX_100,MIX_500
0901000443,MIX_100,MIX_500
0901000444,MIX_100,MIX_500
0901000445,MIX_100,MIX_500
0901000446,MIX_100,MIX_500
0901000447,MIX_100,MIX_500
0901000448,MIX_100,MIX_500
0901000449,MIX_100,MIX_500
0901000450,MIX_100,MIX_500
0901000451,MIX_100,MIX_500
0901000452,MIX_100,MIX_500
0901000453,MIX_100,MIX_500
0901000454,MIX_100,MIX_500
0901000455,MIX_100,MIX_500
0901000456,MIX_100,MIX_500
0901000457,MIX_100,MIX_500
0901000458,MIX_100,MIX_500
0901000459,MIX_100,MIX_500
0901000460,MIX_100,MIX_500
0901000461,MIX_100,MIX_500
0901000462,MIX_100,MIX_500
0901000463,MIX_100,MIX_500
0901000464,MIX_100,MIX_500
0901000465,MIX_100,MIX_500
0901000466,MIX_100,MIX_500
0901000467,MIX_100,MIX_500
0901000468,MIX_100,MIX_500
0901000469,MIX_100,MIX_500
0901000470,MIX_100,MIX_500
0901000471,MIX_100,MIX_500
0901000472,MIX_100,MIX_500
0901000473,MIX_100,MIX_500
0901000474,MIX_100,MIX_500
0901000475,MIX_100,MIX_500
0901000476,MIX_100,MIX_500
0901000477,MIX_100,MIX_500
0901000478,MIX_100,MIX_500
0901000479,MIX_100,MIX_500
0901000480,MIX_100,MIX_500
0901000481,MIX_100,MIX_500
0901000482,MIX_100,MIX_500
0901000483,MIX_100,MIX_500
0901000484,MIX_100,MIX_500
0901000485,MIX_100,MIX_500
0901000486,MIX_100,MIX_500
0901000487,MIX_100,MIX_500
0901000488,MIX_100,MIX_500
0901000489,MIX_100,MIX_500
0901000490,MIX_100,MIX_500
0901000491,MIX_100,MIX_500
